,WindDir,valid,UP,M,BL,FG,RA,SN,tmpf,dwpf,relh,sknt,vsby,gust
270,E,2014-10-03 04:52:00,False,True,False,False,False,False,44.6,24.8,45.44,11,120,11
271,SE,2014-10-03 14:50:00,False,True,False,False,False,False,50,19.4,29.52,10,100,10
272,SE,2014-10-03 22:51:00,True,True,False,False,False,False,44.6,44.6,100,26,0.06,33
273,S,2014-10-04 04:51:00,False,False,False,True,False,False,44.6,44.6,100,24,0.06,24
274,SE,2014-10-04 14:49:00,True,True,False,False,False,False,44.6,44.6,100,38,0.06,47
275,SE,2014-10-04 22:48:00,False,False,False,True,True,False,42.8,42.8,100,32,0.06,44
276,S,2014-10-05 04:52:00,False,False,False,True,False,False,39.2,39.2,100,19,0.12,19
277,NW,2014-10-05 14:51:00,False,False,False,True,False,False,30.2,30.2,100,29,0.06,29
278,NW,2014-10-05 22:48:00,False,False,False,True,False,False,26.6,26.6,100,21,0.06,21
279,W,2014-10-06 04:55:00,False,True,False,False,False,False,26.6,19.4,73.89,12,110,12
280,S,2014-10-06 14:52:00,False,True,False,False,False,False,37.4,28.4,69.67,14,75,19
281,S,2014-10-07 04:50:00,False,False,False,True,False,False,35.6,35.6,100,43,0,48
282,SW,2014-10-07 14:48:00,True,True,False,False,False,False,41,41,100,24,0,46
283,SW,2014-10-07 22:50:00,False,False,False,True,False,False,39.2,39.2,100,28,0,34
284,S,2014-10-08 04:48:00,True,True,False,False,False,False,39.2,39.2,100,48,0,59
285,W,2014-10-08 14:55:00,False,False,False,True,False,False,35.6,35.6,100,47,0.06,56
286,W,2014-10-08 22:55:00,False,False,False,True,False,False,26.6,26.6,100,48,0,55
287,W,2014-10-09 04:55:00,False,False,False,True,False,False,23,23,100,61,0,66
288,W,2014-10-09 14:49:00,False,False,False,True,False,False,24.8,24.8,100,30,0.06,30
289,W,2014-10-09 22:54:00,False,False,False,True,False,False,23,23,100,68,0,80
290,NW,2014-10-10 04:57:00,False,False,False,True,False,False,21.2,21.2,100,43,0,43
291,NW,2014-10-10 14:54:00,False,False,False,True,False,False,26.6,26.6,100,34,0.06,42
292,NW,2014-10-10 22:56:00,False,False,False,True,False,False,24.8,24.8,100,22,0.12,22
293,W,2014-10-11 04:56:00,False,True,False,False,False,False,24.8,19.4,79.62,22,130,22
294,W,2014-10-11 14:57:00,False,True,False,False,False,False,26.6,24.8,92.8,32,110,36
295,NW,2014-10-11 22:54:00,False,False,False,True,False,False,24.8,24.8,100,36,0,41
296,NW,2014-10-12 04:55:00,False,False,False,True,False,False,23,23,100,37,0.06,37
